Brand Name,Reasons
1 Body,
1-2-3 TAKING A BATH,
100% PURE,
1Easylife,
220 Volt Electronics,
2xhome,
3 sprouts,
360 Cookware,
3D lite,
3D-one,
3Dflip,
3Dmini,
3Dtote,
3Dtwo,
3Dzyre,
3M,
3MPicassoTiles,
3PM,
3Skulls Paintball,
47 Brand,
A Mug To Keep,
A Mug To Keep TM,
A World of Deals,
Ab Coaster Max,
Ab Roller Evolution,
Abba Patio,
Abercrombie & Fitch,
Accents,
AccessoryXpert,
Accuform,
Accusharp,
Acebayou,
Acer,
"Action Mining Services, Inc.",Counterfeit complaint
ActionHeat,
ActiveFlow,
Acu-Hoop,Infringement type: Trademark 
Adecco,
Aden & Anais,
Adidas,
Adidas Originals,
ADIR,IP complaint
Admired by Nature,
Adobe,
ADT,Received Intellectual Property Complaints
Aerobie,
Aerocore,
After Inked,
Ahava,
Aibecy,
Aidance Skincare,
Air Comfort,Received Intellectual Property Complaints
Air Dragon,
Air Force One Air Conditioning,
AirCare,
Aircraft Technical Publishers,
Airplus,
Alaska Airlines,
albanese,
Alcochill,IP Claim
Aleko,
"Aleratek, Inc",
Alex & Ani,
Alex Perez,
Alex Toys,
Alfresco Heating,
All Star,
All-Clad,
ALL-IN-ONE,
Allegion,
Allibert,
Allibert Home,
Allibert Outdoor,
Allieroo ,
ALM Productions,
Alonea,
Alpine,
Altra Furniture,
Alvantor,
Amazonia,
Amco,
Amerex ,Copyright Infringement
American Eagle Outfitters,
American Girl,
American Tourister,
"American Weigh Scales, Inc",
American Welding Society,
Americas Drive-In Corp. / Sonic Corp. & Subsidiaries,
Amerock,
Amiclubwear.com,
Amope,
Amway Corporation,
Amybug's Attic,
AnalogMan Guitar Effects,
Anastasia Beverly Hills,
Ancheer,
Angela LaFramboise,
Angie’s BOOMCHICKAPOP, Cease and Desist letter
Anki,
Ann Williams Group,
Annenberg Media,
Anolon,
Anolon Kitchen,
"Ansonia Records, Inc.",
ANSR,
Antic Farmacista,
Aosom,
Apara,
Apec,
Apex Tool Group,
Apple,
Aqua Dog,
Aqua EZ,
Aqua Joe,
Aqua Monterey,
Aqua spa,
AquaChek,
Aquafina,
Aquaspa,copyright claim
Aquatopia,
Aqueon Aquarium,
AR+Cook,
AR15.com,
Arbonne,
Architectural Mailboxes,IP Complaint
Arctic Chill,
"ARIIX, LLC",
Arksen,
Arm & Hammer,
Armani,
Armor All,
ARRES,
Art Naturals,
Art of Shaving,
"Artbeats Software, Inc.",
As Seen on TV (Any Brand),
Ashleigh Talbot,
Asics,
AsKoruBeads,
Astro,
ASUS,
Atkins ,Cease and desist letter
Atlantic Lifestyle,
Atlantic Research and Marketing (A.R.M.S.),
Atlantis Hydroponics,
Atomic,
Attwood,
Atvimports,
audio technica,
Aufenblick,
Augenblick,
August,
"Auntie Anne's, Inc.",
Austin City Limits/KLRU,
"Australian Gold, Inc.",
Australian Made Campaign Limited,
Authentic Brands Group LLC,
Authentic Talatech,
"Autism Speaks, Inc.",
"Auto Meter Products, Inc. (Autometer)",
Autoline Industries,
"Automotive Technologies, Inc.",
AVALON HOME,IP Complaint
Avalon Organics,
AVALON PATIO,IP Complaint
Avant Grub,
Avanti,
"Avedis Zildjian, Co.",
Aveeno,
Avenger,
Avery,
AVON,
axis international,
Axor,
Ayudín,
Azar Displays,
B-Air,
B. C. Broncos,
"B.H.P., Inc. dba Nialaya Jewelry",
B&G Beautiful Gardener,
B2Fitenss,
Babe Lash,
Baby Bullet,
Baby Feeding,
Baby Jogger,
Baby Moments,
BABY PIXEL,
BABY SHADE,
Baby Touch,
Babybjorn,
BaByliss,
BaBylissPRO,
Bacati,
Backjoy,
