Categories: Root;General;Pana Man;Booster;test
Appliances;100000;900;100000;100000
Arts, Crafts & Sewing;100000;30000;100000;100000
Automotive;0;0;0;4
Baby Products;0;0;0;4
Beauty & Personal Care;0;0;0;4
CDs & Vinyl;0;0;0;4
Cell Phones & Accessories;0;0;0;4
Clothing, Shoes & Jewelry;0;0;0;4
Collectibles & Fine Art;0;0;0;4
Electronics;0;0;0;4
Everything Else;0;0;0;4
Grocery & Gourmet Food;0;0;0;4
Handmade Products;0;0;0;4
Health & Household;100000;70000;100000;100000
Home & Kitchen;100000;80000;100000;100000
Industrial & Scientific;100000;30000;100000;100000
Movies & TV;0;0;0;4
Musical Instruments;0;0;0;4
Office Products;100000;40000;100000;100000
Patio, Lawn & Garden;100000;30000;100000;100000
Pet Supplies;0;0;0;4
Software;0;0;0;4
Sports & Outdoors;100000;40000;100000;100000
Tools & Home Improvement;100000;60000;100000;100000
Toys & Games;100000;70000;100000;100000
Video Games;0;0;0;4
