Наименование категории;Категория в Alibaba;Id Категориии в Alibaba
name;Baby Products;5
name;Agriculture;1
name;Food & Beverage;2
name;Apparel;3
name;Textile & Leather Product;4
name;Fashion Accessories;339
name;Timepieces, Jewelry, Eyewear;36
Automotive;Vehicles & Accessories
name;Luggage, Bags & Cases;1524
name;Shoes & Accessories;322
Cell Phones & Accessories;Consumer Electronic;44
Electronics › Car & Vehicle Electronics;Consumer Electronic;44
Electronics › GPS, Finders & Accessories;Consumer Electronic;44
Electronics › Power Accessories;Consumer Electronic;44
Electronics › Security & Surveillance;Consumer Electronic;44
Appliances;Home Appliance;6
Tools & Home Improvement › Safety & Security;Security & Protection;30
Industrial & Scientific › Industrial Electrical;Electrical Equipment & Supplies;5
Tools & Home Improvement › Electrical;Electrical Equipment & Supplies;5
Sports & Outdoors › Fan Shop;Sports & Entertainment;18
Sports & Outdoors › Sports & Fitness;Sports & Entertainment;18
Arts, Crafts & Sewing;Gifts & Crafts;17
Toys & Games › Arts & Crafts;Toys & Hobbies;26
Toys & Games › Building Toys;Toys & Hobbies;26
Toys & Games › Collectible Toys;Toys & Hobbies;26
Toys & Games › Dress Up & Pretend Play;Toys & Hobbies;26
Toys & Games › Games & Accessories;Toys & Hobbies;26
Toys & Games › Novelty & Gag Toys;Toys & Hobbies;26
Toys & Games › Party Supplies;Toys & Hobbies;26
Toys & Games › Puppets & Puppet Theaters;Toys & Hobbies;26
Toys & Games › Puzzles;Toys & Hobbies;26
Toys & Games › Toy Figures & Playsets;Toys & Hobbies;26
Health & Household › Medical Supplies & Equipment;Health & Medical;16
Health & Household › Sports Nutrition;Health & Medical;16
Health & Household › Stationery & Gift Wrapping Supplies;Health & Medical;16
Health & Household › Vitamins & Dietary Supplements;Health & Medical;16
Industrial & Scientific › Professional Medical Supplies;Health & Medical;16
Beauty & Personal Care › Tools & Accessories;Beauty & Personal Care;66
name;Construction & Real Estate;13?
Health & Household › Household Supplies;Home & Garden;15
Home & Kitchen › Bedding;Home & Garden;15
Home & Kitchen › Heating, Cooling & Air Quality;Home & Garden;15
Home & Kitchen › Irons & Steamers;Home & Garden;15
Home & Kitchen › Kitchen & Dining;Home & Garden;15
Home & Kitchen › Vacuums & Floor Care;Home & Garden;15
Home & Kitchen › Wall Art;Home & Garden;15
Tools & Home Improvement › Light Bulbs;Lights & Lighting;39
Tools & Home Improvement › Lighting & Ceiling Fans;Lights & Lighting;39
name;Furniture;1503
name;Machinery;43
Industrial & Scientific › Hydraulics, Pneumatics & Plumbing;Machinery;43
Industrial & Scientific › Power Transmission Products;Machinery;43
name;Fabrication Services
Industrial & Scientific › Cutting Tools;Tools & Hardware
Tools & Home Improvement › Measuring & Layout Tools;Tools & Hardware
name;Minerals & Metallurgy;9
name;Chemicals;8
name;Rubber & Plastics;80
name;Energy;10
name;Packaging & Printing;23
Office Products;Office & School Supplies;21
name;Service Equipment;2829
name;Agricultural Waste;138
name;Animal Products;100003006
name;Beans;105
name;Cocoa Beans;10502
name;Coffee Beans;100009043
name;Farm Machinery & Equipment;100003758
name;Feed;100002650
name;Fresh Seafood;100007332
name;Fruit;103
name;Grain;101
name;Herbal Cigars & Cigarettes;100008999
name;Mushrooms & Truffles;106
name;Nuts & Kernels;104
name;Ornamental Plants;100002622
name;Other Agriculture Products;135
name;Plant & Animal Oil;136
name;Plant Seeds & Bulbs;100001746
name;Timber Raw Materials;100009051
name;Vanilla Beans;10508
name;Vegetables;100002688
name;Alcoholic Beverage;204
name;Baby Food;100008699
name;Baked Goods;218
name;Bean Products;207
name;Canned Food;214
name;Coffee;289
name;Confectionery;236
name;Dairy;209
name;Drinking Water;100008828
name;Egg & Egg Products;100001750
name;Food Ingredients;100001710
name;Fruit Products;100002654
name;Grain Products;238
name;Honey Products;100008902
name;Instant Food;216
name;Meat & Poultry;100001756
name;Other Food & Beverage;225
name;Seafood;109
name;Seasonings & Condiments;212
name;Snack Food;100002847
name;Soft Drinks;202
name;Tea;100008840
name;Vegetable Products;100002689
name;Apparel Design Services;280503
name;Apparel Processing Services;355
name;Apparel Stock;333
Clothing, Shoes & Jewelry › Boys;Boy's Clothing;100003186
name;Costumes;100003238
name;Ethnic Clothing;100003239
name;Garment Accessories;328
name;Girl‘s Clothing;100003199
name;Infant & Toddlers Clothing;100003234
name;Mannequins;33801
name;Maternity Clothing;100005837
Clothing, Shoes & Jewelry › Men;Men‘s Clothing;100003070
name;Sewing Supplies;353
name;Sportswear;301
name;Stage & Dance Wear;100003240
name;Tag Guns;354
name;Uniforms;100003237
name;Used Clothes;337
name;Wedding Apparel & Accessories;100003235
Clothing, Shoes & Jewelry › Women;Women's Clothing;100003109
name;Down & Feather;100000938
name;Fabric;423
name;Fiber;415
name;Fur;100000936
name;Grey Fabric;414
name;Home Textile;405
name;Leather;100000941
name;Leather Product;100003278
name;Other Textiles & Leather Products;100000947
name;Textile Accessories;100000948
name;Textile Processing;280504
name;Thread;427
name;Yarn;408
name;100% Cotton Fabric;409
name;100% Polyester Fabric;42305
name;Bedding Set;40601
name;Towel;403
name;Chair Cover;40510
name;Genuine Leather;41506
name;Belt Accessories;33913
name;Belts;32801
name;Fashion Accessories Design Services;33911
name;Fashion Accessories Processing Services;33912
name;Gloves & Mittens;324
name;Scarf, Hat & Glove Sets;33906
name;Hats & Caps;327
name;Scarves & Shawls;325
name;Hair Accessories;33901
name;Genuine Leather Belts;3280104
name;Leather Gloves & Mittens;32406
name;Ties & Accessories;326
name;Belt Buckles;3391301
name;PU Belts;3280108
name;Belt Chains;3391302
name;Metal Belts;3280106
name;Suspenders;3280111
name;Eyewear;1512
name;Jewelry;1509
name;Watches;1511
name;Eyeglasses Frames;361250
name;Sunglasses;33902
name;Sports Eyewear;361230
name;Body Jewelry;100006741
name;Bracelets & Bangles;100006742
name;Brooches;100006748
name;Cuff Links & Tie Clips;100006743
name;Earrings;100006744
name;Jewelry Boxes;100002730
name;Jewelry Sets;100006750
name;Jewelry Tools & Equipment;100004537
name;Loose Beads;100006751
name;Loose Gemstone;100004535
name;Necklaces;100006746
name;Pendants & Charms;100006747
name;Rings;100006749
name;Wristwatches;100002824
name;Automobiles;100002871
name;Trailers
name;Trucks
name;Golf Carts
name;Marine Parts & Accessories
name;Truck Parts & Accessories
name;Trains
Automotive › Motorcycle & Powersports;Motorcycles & Scooters;205778704
name;Auto Parts & Accessories
name;Emergency Vehicles
name;Bus Parts & Accessories
name;ATVs & UTVs
name;Bus
name;Containers
name;Other Vehicle Parts & Accessories
name;Other Vehicles
name;Bag & Luggage Making Materials;3807
name;Bag Parts & Accessories;152409
name;Business Bags & Cases;3801
name;Digital Gear & Camera Bags;3802
name;Handbags & Messenger Bags;100002610
Clothing, Shoes & Jewelry › Luggage & Travel Gear;Luggage & Travel Bags;152404
name;Luggage Cart;3810
name;Other Luggage, Bags & Cases;152499
